Name,Source,Sector,Industry
"BIO-key International, Inc.",2018,8,75
"SeaChange International, Inc.",2018,8,74
"ArQule, Inc.",2018,1,4
"Navigant Consulting, Inc.",2018,10,100
"Penske Automotive Group, Inc.",2018,7,62
Cerus Corporation,2018,1,10
Iron Mountain Incorporated,2018,10,99
"DXP Enterprises, Inc.",2018,4,40
"Triumph Group, Inc.",2018,4,43
"Famous Dave&#39;s of America, Inc.",2018,7,63
"Nu Skin Enterprises, Inc.",2018,1,9
On Track Innovations Ltd,2018,4,41
OGE Energy Corp,2018,2,26
"National Oilwell Varco, Inc.",2018,2,19
Quest Diagnostics Incorporated,2018,1,11
"Genesis Energy, L.P.",2018,2,27
ePlus inc.,2018,8,73
Inseego Corp.,2018,8,75
"Steel Dynamics, Inc.",2018,10,87
"ANI Pharmaceuticals, Inc.",2018,1,1
"Lithia Motors, Inc.",2018,7,62
"AutoWeb, Inc.",2018,10,87
"Simulations Plus, Inc.",2018,1,3
8x8 Inc,2018,8,75
National Holdings Corporation,2018,10,95
Stewardship Financial Corp,2018,5,51
Coty Inc.,2018,7,64
"Rockwell Automation, Inc.",2018,4,41
Tenneco Inc.,2018,4,37
Sun Hydraulics Corporation,2018,4,42
W.P. Carey Inc.,2018,6,56
"Earthstone Energy, Inc.",2018,2,24
Enterprise Financial Services Corporation,2018,5,51
Kilroy Realty Corporation,2018,6,56
Core Molding Technologies Inc,2018,4,36
"Valmont Industries, Inc.",2018,4,40
VSE Corporation,2018,2,21
"Tactile Systems Technology, Inc.",2018,1,14
Pacific Premier Bancorp Inc,2018,5,51
SB One Bancorp,2018,5,51
Dynavax Technologies Corporation,2018,10,89
"Euronet Worldwide, Inc.",2018,10,90
Ladenburg Thalmann Financial Services Inc,2018,10,95
Ladenburg Thalmann Financial Services Inc.,2018,10,95
OFG Bancorp,2018,5,52
"StarTek, Inc.",2018,10,99
"Group 1 Automotive, Inc.",2018,7,62
"Global Self Storage, Inc.",2018,6,56
FirstEnergy Corp.,2018,2,26
Franklin Street Properties Corp.,2018,6,56
"Gulf Island Fabrication, Inc.",2018,2,21
Navient Corporation,2018,5,52
SLM Corporation,2018,5,52
Sempra Energy,2018,2,26
"Maximus, Inc.",2018,9,77
"Bassett Furniture Industries, Incorporated",2018,7,65
Logitech International S.A.,2018,4,41
"Flagstar Bancorp, Inc.",2018,5,51
Luminex Corporation,2018,1,10
SBA Communications Corporation,2018,8,71
"Autoliv, Inc.",2018,4,37
WidePoint Corporation,2018,2,20
"Rigel Pharmaceuticals, Inc.",2018,10,87
Shore Bancshares Inc,2018,5,51
California Water  Service Group Holding,2018,2,26
"Intuitive Surgical, Inc.",2018,1,14
"Eloxx Pharmaceuticals, Inc.",2018,1,5
"Alexandria Real Estate Equities, Inc.",2018,6,56
FNCB Bancorp Inc.,2018,5,52
"Comfort Systems USA, Inc.",2018,2,21
"Identiv, Inc.",2018,4,41
QAD Inc.,2018,8,73
inTest Corporation,2018,4,42
AeroCentury Corp.,2018,2,18
"NII Holdings, Inc.",2018,8,72
Ralph Lauren Corporation,2018,7,64
"Vishay Intertechnology, Inc.",2018,4,42
"Griffin Industrial Realty, Inc.",2018,6,55
"Mettler-Toledo International, Inc.",2018,4,36
"Arch Coal, Inc.",2018,2,30
"AMTEK, Inc.",2018,4,36
Jones Lang LaSalle Incorporated,2018,10,97
"Silicon Laboratories, Inc.",2018,4,41
Heska Corporation,2018,1,10
Pioneer Natural Resources Company,2018,2,24
"SmartFinancial, Inc.",2018,5,51
"OSI Systems, Inc.",2018,1,14
"L3 Technologies, Inc.",2018,4,43
NetSol Technologies Inc.,2018,10,90
"FormFactor, Inc.",2018,4,42
"ONEOK, Inc.",2018,2,27
American Equity Investment Life Holding Company,2018,5,48
"PetMed Express, Inc.",2018,10,87
"Pixelworks, Inc.",2018,4,41
Aehr Test Systems,2018,4,42
"Carrizo Oil & Gas, Inc.",2018,2,24
"Ryman Hospitality Properties, Inc.",2018,6,54
"Intellicheck, Inc.",2018,8,75
SL Green Realty Corp,2018,6,56
"Rockwell Medical, Inc.",2018,1,1
"Yum! Brands, Inc.",2018,7,63
Riverview Bancorp Inc,2018,5,50
"HopFed Bancorp, Inc.",2018,5,52
Walmart Inc.,2018,10,85
"PriceSmart, Inc.",2018,10,87
"Children&#39;s Place, Inc. (The)",2018,7,65
"American Financial Group, Inc.",2018,5,47
CymaBay Therapeutics Inc.,2018,1,5
Mercantile Bank Corporation,2018,5,51
"Piedmont Office Realty Trust, Inc.",2018,10,87
"Dril-Quip, Inc.",2018,2,19
Capital Senior Living Corporation,2018,6,55
"American Electric Technologies, Inc.",2018,4,45
Annaly Capital Management Inc,2018,10,81
"C.H. Robinson Worldwide, Inc.",2018,2,17
"Stoneridge, Inc.",2018,4,37
"Sonic Automotive, Inc.",2018,7,62
"Juniper Networks, Inc.",2018,8,75
"Precipio, Inc.",2018,1,11
"Biocept, Inc.",2018,1,11
OneSpan Inc.,2018,10,90
W.R. Grace & Co.,2018,4,35
EPR Properties,2018,6,56
Baxter International Inc.,2018,10,87
Live Ventures Incorporated,2018,8,69
Live Ventures Incorporated,2018,8,69
NVIDIA Corporation,2018,4,41
Heritage Financial Corporation,2018,5,51
"Timberland Bancorp, Inc.",2018,5,50
Ritchie Bros. Auctioneers Incorporated,2018,7,62
"Guaranty Federal Bancshares, Inc.",2018,5,50
Ingredion Incorporated,2018,10,87
"Choice Hotels International, Inc.",2018,6,53
"RealNetworks, Inc.",2018,8,70
Career Education Corporation,2018,10,89
eMagin Corporation,2018,10,87
Raytheon Company,2018,4,43
"Amkor Technology, Inc.",2018,4,42
"Fresh Del Monte Produce, Inc.",2018,7,60
Consolidated Edison Inc,2018,2,26
Anworth Mortgage Asset  Corporation,2018,10,81
"IES Holdings, Inc.",2018,2,21
Marriott International,2018,6,53
BioMarin Pharmaceutical Inc.,2018,1,5
"F5 Networks, Inc.",2018,8,75
Graham Holdings Company,2018,10,96
FedEx Corporation,2018,2,16
Washington Real Estate Investment Trust,2018,6,56
Avista Corporation,2018,2,26
"MKS Instruments, Inc.",2018,10,89
Mercury Systems Inc,2018,4,43
CompX International Inc.,2018,4,36
"Brookline Bancorp, Inc.",2018,5,51
"Watsco, Inc.",2018,4,40
"PC Connection, Inc.",2018,8,73
"Eagle Bancorp, Inc.",2018,5,52
MicroStrategy Incorporated,2018,8,75
"Salem Media Group, Inc.",2018,8,66
Peapack-Gladstone Financial Corporation,2018,5,51
Columbia Sportswear Company,2018,7,64
Steelcase Inc.,2018,4,38
"Quanta Services, Inc.",2018,2,21
WD-40 Company,2018,10,87
Community West Bancshares,2018,5,51
Crown Castle International Corporation,2018,8,71
"Telephone and Data Systems, Inc.",2018,10,87
"Strata Skin Sciences, Inc.",2018,1,14
AXT Inc,2018,4,42
"Evolving Systems, Inc.",2018,8,75
"Waddell & Reed Financial, Inc.",2018,10,95
Red Lion Hotels Corporation,2018,6,53
Getty Realty Corporation,2018,6,56
Weight Watchers International Inc,2018,7,63
Heritage Commerce Corp,2018,5,51
American Tower Corporation (REIT),2018,8,71
Macatawa Bank Corporation,2018,5,51
Diffusion Pharmaceuticals Inc.,2018,1,4
"CRA International,Inc.",2018,10,100
"Interpace Diagnostics Group, Inc.",2018,1,11
"Weis Markets, Inc.",2018,3,33
BSQUARE Corporation,2018,8,75
Innospec Inc.,2018,4,35
"MFA Financial, Inc.",2018,10,81
"Inovio Pharmaceuticals, Inc.",2018,1,4
McClatchy Company (The),2018,8,67
"Kirkland&#39;s, Inc.",2018,7,65
"Federated Investors, Inc.",2018,10,85
"EMCOR Group, Inc.",2018,2,21
"Mannatech, Incorporated",2018,1,9
Internap Corporation,2018,8,71
"Manhattan Associates, Inc.",2018,10,87
American States Water Company,2018,2,26
Peoples Financial Services Corp.,2018,10,87
"MarineMax, Inc.",2018,7,62
"PC-Tel, Inc.",2018,4,43
"CoStar Group, Inc.",2018,10,98
"The Hackett Group, Inc.",2018,10,100
"New Concept Energy, Inc",2018,6,58
"West Pharmaceutical Services, Inc.",2018,1,7
First BanCorp.,2018,5,52
"IDACORP, Inc.",2018,2,26
Marvell Technology Group Ltd.,2018,4,41
"Chipotle Mexican Grill, Inc.",2018,7,63
Cognizant Technology Solutions Corporation,2018,10,100
Cumulus Media Inc.,2018,8,66
Immersion Corporation,2018,8,74
"Guaranty Bancshares, Inc.",2018,5,51
"America First Multifamily Investors, L.P.",2018,10,87
SP Plus Corporation,2018,9,77
Moody&#39;s Corporation,2018,10,94
"Salisbury Bancorp, Inc.",2018,5,52
"Gamco Investors, Inc.",2018,10,95
"Republic Services, Inc.",2018,2,29
Western Digital Corporation,2018,4,41
"Seattle Genetics, Inc.",2018,1,4
"Carter&#39;s, Inc.",2018,7,64
"Sunesis Pharmaceuticals, Inc.",2018,10,87
Avalon Holdings Corporation,2018,6,58
Enterprise Products Partners L.P.,2018,2,27
"Capital Trust, Inc.",2018,10,81
"Cytokinetics, Incorporated",2018,1,5
"American Axle & Manufacturing Holdings, Inc.",2018,4,37
"Lexicon Pharmaceuticals, Inc.",2018,1,5
Hersha Hospitality Trust,2018,6,53
RiceBran Technologies,2018,7,61
"Simon Property Group, Inc.",2018,6,56
Peabody Energy Corporation,2018,2,30
Centrus Energy Corp.,2018,2,21
"Network-1 Technologies, Inc.",2018,8,74
"Netflix, Inc.",2018,8,70
"Weyco Group, Inc.",2018,3,33
NIC Inc.,2018,10,99
LKQ Corporation,2018,4,37
"Skechers U.S.A., Inc.",2018,7,64
Whirlpool Corporation,2018,4,38
"Heidrick & Struggles International, Inc.",2018,10,100
Future FinTech Group Inc.,2018,10,84
"Cracker Barrel Old Country Store, Inc.",2018,7,65
Entercom Communications Corp.,2018,8,66
"Prosperity Bancshares, Inc.",2018,5,52
"Blucora, Inc.",2018,10,99
"East West Bancorp, Inc.",2018,10,89
"Axon Enterprise, Inc.",2018,8,75
"Lennox International, Inc.",2018,4,40
"Kratos Defense & Security Solutions, Inc.",2018,4,43
Acer Therapeutics Inc.,2018,1,5
Flexible Solutions International Inc.,2018,4,35
"Cassava Sciences, Inc.",2018,1,6
RGC Resources Inc.,2018,2,26
"Trex Company, Inc.",2018,4,40
Phibro Animal Health Corporation,2018,7,59
FedNat Holding Company,2018,10,87
"PTC Therapeutics, Inc.",2018,1,6
Sterling Bancorp,2018,5,51
"First Capital, Inc.",2018,5,50
"Achillion Pharmaceuticals, Inc.",2018,1,5
CNX Resources Corporation,2018,2,24
"Plains All American Pipeline, L.P.",2018,2,28
ACADIA Pharmaceuticals Inc.,2018,1,1
"Greene County Bancorp, Inc.",2018,5,52
Central Federal Corporation,2018,10,87
"Host Hotels & Resorts, Inc.",2018,10,89
"CoreCivic, Inc.",2018,9,77
"Golden Entertainment, Inc.",2018,10,89
Centene Corporation,2018,9,79
Contango Oil & Gas Company,2018,2,24
"Kingsway Financial Services, Inc.",2018,5,49
"Williams Companies, Inc. (The)",2018,2,27
"Bottomline Technologies, Inc.",2018,10,90
Citizens First Corporation,2018,5,51
LCNB Corporation,2018,5,52
Senior Housing Properties Trust,2018,9,79
Booking Holdings Inc.,2018,8,70
"TC PipeLines, LP",2018,2,27
Citizens Holding Company,2018,5,52
"PolarityTE, Inc.",2018,1,12
"Winnebago Industries, Inc.",2018,4,39
Novanta Inc.,2018,1,7
"NeoGenomics, Inc.",2018,1,11
"Texas Capital Bancshares, Inc.",2018,5,51
Hooker Furniture Corporation,2018,4,38
"NetScout Systems, Inc.",2018,8,75
"The Meet Group, Inc.",2018,8,70
"Extreme Networks, Inc.",2018,10,89
"Becton, Dickinson and Company",2018,1,7
"Innoviva, Inc.",2018,1,5
"TheStreet, Inc.",2018,8,70
"Manhattan Bridge Capital, Inc",2018,10,81
"Arena Pharmaceuticals, Inc.",2018,1,5
DURECT Corporation,2018,1,6
"Great Elm Capital Group, Inc.",2018,6,56
Stamps.com Inc.,2018,8,73
"Woodward, Inc.",2018,10,87
"Xcel Brands, Inc",2018,7,64
"Apollo Medical Holdings, Inc.",2018,9,79
"Fauquier Bankshares, Inc.",2018,10,87
World Acceptance Corporation,2018,10,93
"j2 Global, Inc.",2018,8,70
Lightbridge Corporation,2018,4,44
"Resources Connection, Inc.",2018,10,100
"1-800 FLOWERS.COM, Inc.",2018,3,33
Encore Capital Group Inc,2018,10,92
"Natural Gas Services Group, Inc.",2018,2,19
"Worthington Industries, Inc.",2018,4,40
"VirTra, Inc.",2018,8,75
"Perficient, Inc.",2018,10,100
"Akamai Technologies, Inc.",2018,8,75
"Alliance Resource Partners, L.P.",2018,2,30
Cumberland Pharmaceuticals Inc.,2018,1,1
"Red Hat, Inc.",2018,8,75
Xerox Corporation,2018,4,36
"Payment Data Systems, Inc.",2018,10,90
Corcept Therapeutics Incorporated,2018,1,1
Dick&#39;s Sporting Goods Inc,2018,7,65
"Collectors Universe, Inc.",2018,10,91
"Alaska Communications Systems Group, Inc.",2018,8,72
Kingold Jewelry Inc.,2018,7,64
The York Water Company,2018,2,26
"Gaia, Inc.",2018,10,87
"Southern First Bancshares, Inc.",2018,5,51
Devon Energy Corporation,2018,2,24
OMNOVA Solutions Inc.,2018,4,36
Lamar Advertising Company,2018,8,68
"Agilent Technologies, Inc.",2018,1,7
"Charter Communications, Inc.",2018,8,72
"Argo Group International Holdings, Ltd.",2018,5,49
"Spectrum Brands Holdings, Inc.",2018,7,60
"CIRCOR International, Inc.",2018,4,45
"World Wrestling Entertainment, Inc.",2018,10,87
"TJX Companies, Inc. (The)",2018,7,65
Transatlantic Petroleum Ltd,2018,2,24
"Chembio Diagnostics, Inc.",2018,1,10
"SPS Commerce, Inc.",2018,8,75
American Outdoor Brands Corporation,2018,4,39
"Huttig Building Products, Inc.",2018,4,40
"DexCom, Inc.",2018,1,14
"Peoples Bancorp of North Carolina, Inc.",2018,5,51
"Plug Power, Inc.",2018,4,44
Zions Bancorporation N.A.,2018,5,52
"Marker Therapeutics, Inc.",2018,1,4
Teledyne Technologies Incorporated,2018,4,43
"Rudolph Technologies, Inc.",2018,4,42
Finisar Corporation,2018,4,42
MutualFirst Financial Inc.,2018,5,50
"BGC Partners, Inc.",2018,10,97
"Everest Re Group, Ltd.",2018,5,47
"PFSweb, Inc.",2018,8,73
"HealthStream, Inc.",2018,9,76
"Applied Industrial Technologies, Inc.",2018,4,40
iStar Inc.,2018,6,56
Cytori Therapeutics Inc.,2018,10,87
Lyon William Homes,2018,6,57
"Energizer Holdings, Inc.",2018,4,38
"Align Technology, Inc.",2018,1,7
ON Semiconductor Corporation,2018,4,42
Patriot National Bancorp Inc.,2018,5,52
"Fidelity D & D Bancorp, Inc.",2018,5,52
Agenus Inc.,2018,1,2
"Beasley Broadcast Group, Inc.",2018,8,66
"MetLife, Inc.",2018,5,48
"MercadoLibre, Inc.",2018,8,70
Edwards Lifesciences Corporation,2018,1,7
"MVC Capital, Inc.",2018,10,82
Array BioPharma Inc.,2018,1,5
"Charles River Laboratories International, Inc.",2018,1,3
Alliance Data Systems Corporation,2018,10,90
"Equinix, Inc.",2018,8,71
"Entegris, Inc.",2018,4,42
"Delta Apparel, Inc.",2018,4,38
"DASAN Zhone Solutions, Inc.",2018,4,41
PacWest Bancorp,2018,5,51
"American Realty Investors, Inc.",2018,6,56
CenterState Bank Corporation,2018,5,51
Cabot Microelectronics Corporation,2018,4,42
"LivePerson, Inc.",2018,8,70
"BioDelivery Sciences International, Inc.",2018,1,5
"Mondelez International, Inc.",2018,7,61
"Insmed, Inc.",2018,1,5
Materion Corporation,2018,4,36
"Wolverine World Wide, Inc.",2018,3,33
"support.com, Inc.",2018,8,75
RPM International Inc.,2018,4,38
"China Pharma Holdings, Inc.",2018,1,9
"Chanticleer Holdings, Inc.",2018,7,63
ZIOPHARM Oncology Inc,2018,1,4
"Qualys, Inc.",2018,8,75
"Community Health Systems, Inc.",2018,9,79
"Berkshire Hills Bancorp, Inc.",2018,5,50
"Curis, Inc.",2018,1,4
American River Bankshares,2018,5,51
SMTC Corporation,2018,4,42
"PNM Resources, Inc. (Holding Co.)",2018,2,26
Salesforce.com Inc,2018,8,75
"QEP Resources, Inc.",2018,2,24
"CUI Global, Inc.",2018,4,43
Entravision Communications Corporation,2018,10,87
"Basic Energy Services, Inc.",2018,2,19
Hanmi Financial Corporation,2018,5,51
Bruker Corporation,2018,1,7
Exelon Corporation,2018,2,26
Pacific Mercantile Bancorp,2018,5,51
"Illumina, Inc.",2018,1,10
"NiSource, Inc",2018,2,26
IPG Photonics Corporation,2018,4,42
"GlobalSCAPE, Inc.",2018,8,75
"Infinity Pharmaceuticals, Inc.",2018,1,4
"T. Rowe Price Group, Inc.",2018,10,95
"Axcelis Technologies, Inc.",2018,4,42
"Meritor, Inc.",2018,4,37
The Medicines Company,2018,1,5
"Build-A-Bear Workshop, Inc.",2018,10,89
Integer Holdings Corporation,2018,1,7
"Lantronix, Inc.",2018,4,41
"Impinj, Inc.",2018,4,41
"Pinnacle Financial Partners, Inc.",2018,5,51
Quotient Technology Inc.,2018,8,70
"Tapestry, Inc.",2018,7,64
"OraSure Technologies, Inc.",2018,1,10
"TTM Technologies, Inc.",2018,4,42
Planet Green Holdings Corp,2018,10,84
"CBAK Energy Technology, Inc.",2018,4,46
"QuinStreet, Inc.",2018,8,70
"Chimerix, Inc.",2018,1,4
M B T Financial Corp,2018,5,52
"Model N, Inc.",2018,8,75
"Bemis Company, Inc.",2018,4,38
"Nasdaq, Inc.",2018,10,95
"Broadwind Energy, Inc.",2018,10,87
"PDF Solutions, Inc.",2018,10,89
"Comstock Mining, Inc.",2018,2,23
"Oil States International, Inc.",2018,2,19
"Yield10 Bioscience, Inc.",2018,7,59
Garmin Ltd.,2018,4,43
"FTE Networks, Inc.",2018,8,71
"NETGEAR, Inc.",2018,4,41
PolyOne Corporation,2018,4,36
Global Payments Inc.,2018,10,90
"Harvard Bioscience, Inc.",2018,1,7
"Catalyst Biosciences, Inc.",2018,1,2
Exact Sciences Corporation,2018,10,87
Fluor Corporation,2018,2,21
"CryoPort, Inc.",2018,1,3
"Vmware, Inc.",2018,8,75
"Allscripts Healthcare Solutions, Inc.",2018,9,76
"Beacon Roofing Supply, Inc.",2018,4,40
Carnival Corporation,2018,2,16
"MacroGenics, Inc.",2018,1,4
"The Ensign Group, Inc.",2018,9,79
"Shutterfly, Inc.",2018,8,73
NewLink Genetics Corporation,2018,1,4
Principal Financial Group Inc,2018,5,48
"GSI Technology, Inc.",2018,4,41
Spire Inc.,2018,2,26
Magellan Midstream Partners L.P.,2018,2,28
Central Valley Community Bancorp,2018,5,51
ProAssurance Corporation,2018,5,49
"Hope Bancorp, Inc.",2018,5,51
"Flowers Foods, Inc.",2018,7,61
Marine Products Corporation,2018,4,39
Sierra Bancorp,2018,5,51
"Cyclacel Pharmaceuticals, Inc.",2018,1,4
"CenterPoint Energy, Inc.",2018,2,26
Black Hills Corporation,2018,2,26
"Onconova Therapeutics, Inc.",2018,1,4
"Overstock.com, Inc.",2018,8,73
Hornbeck Offshore Services,2018,2,19
Zion Oil & Gas Inc,2018,2,24
"Genomic Health, Inc.",2018,1,11
"Synchronoss Technologies, Inc.",2018,8,75
"Sportsman&#39;s Warehouse Holdings, Inc.",2018,4,39
Ames National Corporation,2018,5,52
Galectin Therapeutics Inc.,2018,1,5
Northrop Grumman Corporation,2018,4,43
"Calavo Growers, Inc.",2018,7,61
"Bio-Path Holdings, Inc.",2018,1,4
"Capricor Therapeutics, Inc.",2018,1,5
International Tower Hill Mines Ltd,2018,2,23
Atlas Air Worldwide Holdings,2018,10,89
Crestwood Equity Partners LP,2018,2,27
"Zimmer Biomet Holdings, Inc.",2018,10,87
"Fidelity National Information Services, Inc.",2018,10,90
"Prudential Financial, Inc.",2018,5,48
Seagate Technology PLC,2018,4,41
Brainstorm Cell Therapeutics Inc.,2018,1,5
"CBRE Group, Inc.",2018,10,97
Infinera Corporation,2018,4,41
Accuray Incorporated,2018,1,13
"Aevi Genomic Medicine, Inc.",2018,1,5
"Reeds, Inc.",2018,10,89
Willis Towers Watson Public Limited Company,2018,10,99
AmerisourceBergen Corporation (Holding Co),2018,1,8
"Cross Country Healthcare, Inc.",2018,9,77
Mastercard Incorporated,2018,10,90
Landmark Bancorp Inc.,2018,5,51
1st Constitution Bancorp (NJ),2018,5,52
"Nexstar Media Group, Inc.",2018,8,66
"NuVasive, Inc.",2018,1,14
AMN Healthcare Services Inc,2018,9,77
Gladstone Capital Corporation,2018,10,82
"Acuity Brands, Inc.",2018,3,32
Bunge Limited,2018,7,61
Asbury Automotive Group Inc,2018,7,62
"ForeScout Technologies, Inc.",2018,8,75
Insulet Corporation,2018,1,14
"Hennessy Advisors, Inc.",2018,10,95
"Aspen Aerogels, Inc.",2018,4,35
W.R. Berkley Corporation,2018,5,49
"Anthem, Inc.",2018,9,79
Houston American Energy Corporation,2018,2,24
CME Group Inc.,2018,10,95
Big 5 Sporting Goods Corporation,2018,7,65
K12 Inc,2018,10,96
"Madrigal Pharmaceuticals, Inc.",2018,1,5
"Western New England Bancorp, Inc.",2018,5,50
"China Automotive Systems, Inc.",2018,3,32
Encana Corporation,2018,2,24
"SITO Mobile, Ltd.",2018,8,70
"Applied Optoelectronics, Inc.",2018,4,41
"comScore, Inc.",2018,8,70
"Cogent Communications Holdings, Inc.",2018,8,71
"China HGS Real Estate, Inc.",2018,10,84
Advance Auto Parts Inc,2018,7,65
JetBlue Airways Corporation,2018,2,16
"Pluristem Therapeutics, Inc.",2018,1,12
"LeMaitre Vascular, Inc.",2018,1,14
"Halozyme Therapeutics, Inc.",2018,1,2
iRobot Corporation,2018,4,41
Five Star Senior Living Inc.,2018,9,79
"Savara, Inc.",2018,1,6
Gold Resource Corporation,2018,10,89
Inphi Corporation,2018,10,87
"Energy Transfer Operating, L.P.",2018,2,27
MGE Energy Inc.,2018,2,26
"RigNet, Inc.",2018,8,71
ConocoPhillips,2018,2,24
United States Steel Corporation,2018,2,30
Northrim BanCorp Inc,2018,5,51
Nabors Industries Ltd.,2018,2,19
Newmont Goldcorp Corporation,2018,10,87
EnPro Industries,2018,4,36
Westwood Holdings Group Inc,2018,10,95
"XPO Logistics, Inc.",2018,2,17
"J.C. Penney Company, Inc. Holding Company",2018,7,65
Verint Systems Inc.,2018,8,75
Comcast Corporation,2018,8,72
West Bancorporation,2018,5,51
"Riot Blockchain, Inc",2018,10,86
Cimarex Energy Co,2018,2,24
Plumas Bancorp,2018,5,52
"Computer Programs and Systems, Inc.",2018,9,76
"Commvault Systems, Inc.",2018,8,75
ChannelAdvisor Corporation,2018,8,70
"Banc of California, Inc.",2018,5,52
"HTG Molecular Diagnostics, Inc.",2018,1,11
"Boingo Wireless, Inc.",2018,8,75
CarMax Inc,2018,7,62
"Radiant Logistics, Inc.",2018,2,17
Natural Resource Partners LP,2018,2,30
Triple-S Management Corporation,2018,9,79
"Red Robin Gourmet Burgers, Inc.",2018,7,63
CIT Group Inc (DEL),2018,10,85
"Safety Insurance Group, Inc.",2018,5,49
"Hawaiian Holdings, Inc.",2018,2,16
"Dorchester Minerals, L.P.",2018,2,24
"Sunworks, Inc.",2018,4,44
Cinedigm Corp,2018,8,68
Novagold Resources Inc.,2018,2,23
TD Ameritrade Holding Corporation,2018,10,95
"CEVA, Inc.",2018,4,41
"Hyster-Yale Materials Handling, Inc.",2018,3,32
