70, "BLANK CHECKS" and "SERVICES-COMPUTER PROCESSING & DATA PREPARATION"
71, "REAL ESTATE" and "REAL ESTATE AGENTS & MANAGERS"
72, "REAL ESTATE INVESTMENT TRUSTS" and "INVESTMENT ADVICE"
73, "SURETY INSURANCE" and "STATE COMMERCIAL BANKS"
74, "FIRE MARINE & CASUALTY INSURANCE" and "LIFE INSURANCE"
75, "SERVICES-BUSINESS SERVICES" and "REAL ESTATE AGENTS & MANAGERS"
76, "SERVICES-BUSINESS SERVICES" and "SERVICES-COMPUTER PROCESSING & DATA PREPARATION"
77, "SERVICES-BUSINESS SERVICES" and "SHORT-TERM BUSINESS CREDIT INSTITUTIONS"
78, "FINANCE SERVICES" and "SHORT-TERM BUSINESS CREDIT INSTITUTIONS"
79, "TRUCKING" and "ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO"
80, "RAILROADS LINE-HAUL OPERATING" and "DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT"
81, "ELECTRICAL WORK" and "HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS"
82, "OIL & GAS FIELD MACHINERY & EQUIPMENT" and "DRILLING OIL & GAS WELLS"
83, "OIL & GAS FIELD SERVICES" and "DRILLING OIL & GAS WELLS"
84, "CRUDE PETROLEUM & NATURAL GAS" and "OIL ROYALTY TRADERS"
85, "CRUDE PETROLEUM & NATURAL GAS" and "PETROLEUM REFINING"
86, "ELECTRIC SERVICES" and "ELECTRIC & OTHER SERVICES COMBINED"
87, "PIPE LINES" and "NATURAL GAS TRANSMISSION"
88, "INDUSTRIAL ORGANIC CHEMICALS" and "WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS"
89, "WATER SUPPLY" and "REAL ESTATE"
90, "SERVICES-NURSING & PERSONAL CARE FACILITIES" and "SERVICES-SKILLED NURSING CARE FACILITIES"
91, "REAL ESTATE INVESTMENT TRUSTS" and "REAL ESTATE"
92, "SERVICES-EQUIPMENT RENTAL & LEASING" and "REAL ESTATE INVESTMENT TRUSTS"
93, "REAL ESTATE INVESTMENT TRUSTS" and "REAL ESTATE"
94, "WHOLESALE-GROCERIES & RELATED PRODUCTS" and "RETAIL-EATING & DRINKING PLACES"
95, "HOTELS & MOTELS" and "REAL ESTATE INVESTMENT TRUSTS"
96, "WATER TRANSPORTATION" and "SERVICES-BUSINESS SERVICES"
97, "SHIP & BOAT BUILDING & REPAIRING" and "ENGINES & TURBINES"
98, "REAL ESTATE INVESTMENT TRUSTS" and "AGRICULTURAL PRODUCTION-CROPS"
99, "SERVICES-PERSONAL SERVICES" and "REFUSE SYSTEMS"
100, "REAL ESTATE" and "OPERATIVE BUILDERS"
