"","x"
"11","BioMarin Pharmaceutical Inc. is an American biotechnology company headquartered in San Rafael, California. It has offices and facilities in the United States, South America, Asia, and Europe. BioMarin's core business and research is in enzyme replacement therapies (ERTs). BioMarin was the first company to provide therapeutics for mucopolysaccharidosis type I (MPS I), by manufacturing laronidase (Aldurazyme, commercialized by Genzyme Corporation).  BioMarin was also the first company to provide therapeutics for phenylketonuria (PKU).In 2019 it was revealed by multiple news sources  that BioMarin had refused to give the medicine to the people who had successfully tested Kuvan for BioMarin's commercial benefit. One such test patient, Louise Moorhouse, has even had to go back to being permanently disabled by PKU."
"12","Headquartered in California, California First National Bancorp is a registered financial holding company for California First National Bank and California First Leasing Corp. The company currently operates with two primary businesses including an FDIC-insured national bank and a leading leasing company specializing in financing high-technology capital assets.  The company offers various leasing and banking services including leasing and financing capital assets, leasing non-high technology property,accepting various deposit products and various commercial loans for corporations, companies, educational institute and other social organizations."
"13","MINDBODY Inc NASDAQ: MB was founded in 2001. It provides cloud-based business management software for the wellness services industry. MINDBODY serves about 35 million consumers located in over 130 countries and territories. It provides business management software and online scheduling platforms for over 58,000 health and wellness businesses globally. The company's clients include Bikram Yoga and New York Health & Racquet Club. ClassPass is one of MINDBODY's technology partners using MINDBODY's API to power the inventory on the ClassPass app. According to Institutional Venture Partners, MINDBODY is the largest global provider of online business management software to the beauty, health and wellness industry."
"14","JD.com, Inc. (Chinese: <U+4EAC><U+4E1C>; pinyin: Jingdong), also known as Jingdong and formerly called 360buy, is a Chinese e-commerce company headquartered in Beijing. It is one of the two massive B2C online retailers in China by transaction volume and revenue, a member of the Fortune Global 500 and a major competitor to Alibaba-run Tmall. As of the first quarter of 2018, the platform has 301.8 million active users. JD.com, Inc. was listed on Nasdaq in the U.S. in May 2014.The company was founded by Liu Qiangdong in July 1998, and its retail platform went online in 2004. It started as an online magneto-optical store, but soon diversified, selling electronics, mobile phones, computers and similar items. The company changed its domain name to 360buy.com in June 2007 and then to JD.com in 2013. The latter purchase is understood to have cost $5,000,000. At the same time, JD.com announced its new logo and mascot. It is partly owned by Tencent, which has a 20% stake in the company.JD.com is the world's leading company in high tech and AI delivery through drones, autonomous technology and robots, and possesses the largest drone delivery system, infrastructure and capability in the world. It has recently started testing robotic delivery services and building drone delivery airports, as well as operating driverless delivery by unveiling its first autonomous truck."
"15","Papa John's Pizza is an American pizza restaurant franchise. It runs the fourth largest pizza delivery restaurant chain in the United States, with headquarters in Jeffersontown, Kentucky, a suburb of Louisville."
"16","Syneos Health (formerly InVentiv Health Incorporated and INC Research) is a NASDAQ listed American multinational contract research organization based in Morrisville, North Carolina. In January 2018 INC Research acquired inVentiv Health, the parent company of a subsidiary called Syneos, and the resulting company was named Syneos Health."
"17","Logitech International S.A. ( LOJ-ih-tek) is a Swiss provider of personal computer and mobile peripherals, with its headquarters in Lausanne, Switzerland and administrative headquarters in Newark, California. In addition to its Swiss and American facilities, the company has offices throughout Europe, Asia and the rest of the Americas. Logitech's sales and marketing activities are organized into three geographic regions: Americas, Europe, Middle East and Africa, and Asia Pacific.
The company develops and markets personal peripherals for PC navigation, video communication and collaboration, music and smart homes. This includes products like keyboards, mice, tablet accessories, webcams, Bluetooth speakers, universal remotes and more.
The name Logitech is derived from the French word for software, ""logiciel"". In Japan, Logitech was established as Logicool to avoid conflict with the Logitec brand."
"18","Qlik is a software company founded in 1993 in Lund, Sweden and now based in King of Prussia, Pennsylvania, United States whose main products are QlikView and Qlik Sense, both software for business intelligence & data visualization. Similar software dedicated to business users would include Crystal Reports by SAP, Tableau, or Sisense. For the more developer orientated audience, the library Shiny for R also allows to quickly build interactive web apps."
"19","Delcath Systems, Inc. Delcath Systems, Inc. (NASDAQ: DCTH) is a publicly-traded specialty pharmaceutical and medical device company that develops percutaneous perfusion technologies for the targeted administration of high-dose chemotherapeutic agents to specific organs or regions of the body. Based in Queensbury, New York, the company has an intellectual property portfolio consisting of 28 patents worldwide. Delcath's Percutaneous Hepatic Perfusion (PHP) is currently undergoing Phase II and Phase III trials against tumors in the liver. Delcath has a Cooperative Research and Development Agreement (CRADA) with the National Cancer Institute and has received Fast Track and a Special Protocol Assessment from the Food and Drug Administration for its use of melphalan in treating unresectable liver tumors. PHP, also known as the Delcath System, is tested for the treatment of metastatic melanoma in the liver and for primary liver cancer and metastatic hepatic malignancies from neuroendocrine cancers and adenocarcinomas, as well as patients with melanoma who previously received isolated perfusion. Chemotherapy is usually delivered intravenously, although a number of agents can be administered orally (e.g. specialty drugs, melphalan (trade name Alkeran), busulfan, capecitabine)."
"20","Leading Brands Inc. is a fully integrated beverage company in North America. Its operations include a coast-to-coast distribution network, large variety of brands, production of private label products and beverage distribution. The company is a publicly traded company on NASDAQ under the symbol ""LBIX"".
Leading Brands Incorporation was formerly named Brio Industries Inc., and changed its name in October 1999. The company started its earliest business in 1986. Its headquarters is now in Vancouver, Canada.The ticker symbol for Leading Brands Incorporation is ""LBIX""."
"21","NxStage Medical, Inc. is a publicly traded company (NASDAQ: NXTM) located in Lawrence, Massachusetts.  It is a medical device company that develops, manufactures and markets systems for the treatment of end-stage renal disease, acute kidney failure and fluid overload. 
In April 2002, IFS signed a contract with NxStage Medical, to provide IFS Applications(TM) business software to support the company's growing medical device business.In 2005, NxStage Medical received expanded 510(k) clearance from the FDA for its System One portable daily hemodialysis device. On Nov 2, 2005, NxStage Medical, Inc. received the Nixon Peabody/Smith & Nephew Medical Device Innovation Award in the Start-Up category from the Massachusetts Medical Device Industry Council (MassMEDIC). It received an ""honorable mention"" in the Wall Street Journal's 2006 Technology Innovation Awards.On Nov 27, 2006, NxStage Medical, Inc. appointed Robert S. Brown as Chief Financial Officer effective immediately. In 2017, the German healthcare company Fresenius Medical Care revealed its acquisition plans for NxStage. The deal was closed in February 2019."
"22","Weibo Corporation is the social network company which is providing the Chinese microblogging website Sina Weibo, based in Beijing, China."
"23","Overland Storage is a wholly owned subsidiary of Sphere 3D Corp. It has acquired Tandberg Data shortly before being acquired by Sphere 3D itself. The two subsidiaries were later rebranded under the common Overland-Tandberg brand."
"24","Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California that develops computer processors and related technologies for business and consumer markets. While initially it manufactured its own processors, the company later outsourced its manufacturing, a practice known as fabless, after GlobalFoundries was spun off in 2009. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations and personal computers, and embedded systems applications.
AMD is the second-largest supplier and only significant rival to Intel in the market for x86-based microprocessors. Since acquiring ATI in 2006, AMD and its competitor Nvidia have maintained a duopoly in the discrete graphics processing unit (GPU) market."
"25","Smith Micro Software, Inc., founded in 1982 by William W. Smith, Jr., is a developer and marketer of both enterprise and consumer-level software and services. Headquartered in Pittsburgh, Pennsylvania, Smith Micro maintains multiple domestic and international offices.  United States locations include  Aliso Viejo, California, and Pittsburgh, Pennsylvania. International offices are located throughout Europe and Asia. Currently, the company focuses on digital lifestyle solutions and security technologies, and is integrated into the evolving wireless media industry, as indicated by partnerships with cellular service providers such as Verizon Wireless, AT&T, and Sprint Nextel."
"26","Tractor Supply Company (TSCO) is an American retail chain of stores that offers products for home improvement, agriculture, lawn and garden maintenance, and livestock, equine and pet care."
"27","Kite Pharma, a subsidiary of Gilead Sciences, develops cancer immunotherapy products with a primary focus on genetically engineered autologous T cell therapy with chimeric antigen receptors (CAR-T).
The Santa Monica, California-based company was founded in 2009 by Arie Belldegrun, M.D., FACS, an Israeli-American oncologist, who served as the company's chairman, president and chief executive officer.On August 28, 2017, Gilead Sciences announced that it would acquire Kite Pharma for $11.9 billion in an all-cash deal, equating to $180 cash per share. The deal will add the promising CAR-T candidate to Gilead's existing portfolio. The acquisition was completed in October 2017. In October 2017, Kite Pharma’s therapy, Yescarta (axicabtagene ciloleucel) became the first CAR-T therapy approved by the FDA for the treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy.MIT Technology Review ranked Kite Pharma 7th in its annual list of 50 Smartest Companies 2017."
"28","Intellia Therapeutics is a biotechnology company developing biopharmaceuticals using a CRISPR gene editing system invented by Jennifer Doudna and colleagues at University of California. The company has partnerships with Novartis and Regeneron."
"29","AmTrust Financial Services, Inc., is a New York City-based multinational property and casualty insurance company. Operating through its subsidiaries, its operations are divided into three segments: Small Commercial Business insurance, Specialty Risk and Extended Warranty insurance, and Specialty Middle-Market Property and Casualty insurance. The company’s main regions of operations are North America, United Kingdom, and mainland Europe. AmTrust is listed on the NASDAQ Global Market under the ticker symbol AFSI and is rated “A-” (Excellent) by AM Best Company. Barry Zyskind is the Chief Executive Officer."
"30","Nvidia Corporation ( en-VID-ee-<U+0259>), more commonly referred to as Nvidia (stylized as NVIDIA), is an American technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market. Its primary GPU product line, labeled ""GeForce"", is in direct competition with Advanced Micro Devices' (AMD) ""Radeon"" products. Nvidia expanded its presence in the gaming industry with its handheld Shield Portable, Shield Tablet and Shield Android TV.
Since 2014, Nvidia has shifted to become a platform company focused on four markets – gaming, professional visualization, data centers and auto. Nvidia is also now focused on artificial intelligence.In addition to GPU manufacturing, Nvidia provides parallel processing capabilities to researchers and scientists that allow them to efficiently run high-performance applications. They are deployed in supercomputing sites around the world. More recently, it has moved into the mobile computing market, where it produces Tegra mobile processors for smartphones and tablets as well as vehicle navigation and entertainment systems. In addition to AMD, its competitors include Intel, Qualcomm and Arm (e.g., because of Denver, while Nvidia also licenses Arm's designs)."
"31","Clavister is a Swedish company specialized in network security solutions, listed on NASDAQ First North.
According to a report from 451 Research, the Edward Snowden NSA leaks and consequent loss of trust with US-based products has helped with the international expansion of Clavister.
Clavister has a global presence with customers such as the Japanese NTT-BP and the German Marbach Group. Also, the traffic of all 3.000 Regus business centers in more than 100 countries are protected by Clavister solutions.Clavister has partnerships with for example the Japanese Canon-ITS, and in the area of virtualized network security with Nokia Networks and Artesyn.Clavister has recently acquired the authentication solutions company PhenixID."
"32","BioLineRx (Hebrew: <U+05D1><U+05D9><U+05D5><U+05DC><U+05D9><U+05D9><U+05DF> <U+05D0><U+05E8> <U+05D0><U+05E7><U+05E1><U+200E>), or BioLine, is a publicly traded drug development company that seeks to discover compounds for disease treatment and develop them into commercializable drugs. Headquartered in Israel, its shares are traded on the NASDAQ Capital Market and on the Tel Aviv Stock Exchange."
"33","Pinnacle Financial Partners is a bank headquartered in Nashville, Tennessee operating in Middle Tennessee, East Tennessee, and, since June 2017, North Carolina, South Carolina, and Virginia."
"34","DASAN Zhone Solutions is a provider of telecommunications networking equipment founded in 1999. It is headquartered in Oakland, California. DZS is ISO 9001:2008 certified in the manufacture and service of telecommunications equipment."
"35","Ceragon Networks Ltd. provides high-capacity microwave Ethernet and TDM wireless backhaul to wireless service providers as well as private businesses.
Ceragon's offers Short-Haul and Long-Haul high capacity, point-to-point microwave systems in licensed spectrum (6–42 GHz) as well as sub-6 GHz and V-band (70–80 GHz) spectrum range."
"36","Halydean Corporation is a vertically integrated dairy and beef industry consolidation holding company. It is the oldest agricultural company in the world—founded in 1128 (1128) by 12th century Scottish king David I of Scotland. 
Throughout its history, the company passed from one propietorship to the next. Although founded by a Scottish monarch, it was operated by the Catholic Church which allowed it to enjoy perpetual tax exemption. In 1545, ownership passed hands to a Royal Burgh during the reign of Mary, Queen of Scots. During the reign of her son, the ""King of Great Britain and Ireland"" James VI and I, the company passed into private ownership, albeit assigned to various members of Scottish peerage.
The company's current incarnation can be traced back to 2014 when it was reorganized as a Delaware corporation. It is currently headquartered in Hayward, Wisconsin in the United States of America, but primarily consists of holdings in subsidiaries. In 2016, it became a publicly-traded company listed on the stock exchange. The company, a classic rollup, targets dairy facilities for mergers and acquisitions each worth an average $34 million USD, and is moving to increase its revenues from US export sales."
"37","Hasbro, Inc. (; a syllabic abbreviation of its original name, Hassenfeld Brothers) is an American worldwide toy and board game company. It is the largest toy maker in the world in terms of stock market value, and third largest with revenues of approximately $5.12 billion. Hasbro acquired the trademarks and products of Kenner, Parker Brothers, and Milton Bradley, among others. Among its products are Monopoly, G.I. Joe, Furby, Transformers, Nerf, My Little Pony, Twister and the Power Rangers franchise. The Hasbro brand also spawned TV shows to promote its products, such as Family Game Night  on the Discovery Family network. The corporate headquarters is located in Pawtucket, Rhode Island. The majority of its products are manufactured in East Asia."
"38","Qualstar Corporation (NASDAQ: QBAK) is an American manufacturer of magnetic tape data storage products, based in Simi Valley, California.  It was founded in 1984 as a 9 track tape drive manufacturer, and now makes tape library products.  The company sold its last 9 track tape drive in 2006 and as of March 2006 has sold all remaining parts inventory to Vinastar, an aftermarket vendor.Qualstar announced the TLS-4000 Series tape library family in 1994 and began shipment in 1995. Initially using Exabyte 8mm tape drives, the TLS-4000 Series was the first library product line to automate Sony's popular AIT drives. Leveraging the basic TLS design, Qualstar subsequently introduced the TLS-6000 Series for DLT and SDLT drives, the TLS-5000 Series for Sony SAIT drives and the TLS-8000 Series for LTO drives. The TLS-2000 Series for 4mm drives was also produced for a limited time. By 2011, only select models of the TLS-8000 family remain in production.
In 2001 the company introduced the first RLS-Series of rack mountable tape libraries. A number of models supporting AIT, SAIT, SDLT and LTO tape drive technologies were produced. The RLS-8000 Series for LTO technology continues in production. Various models house up to 44 tape cartridges and four LTO SAS or Fibre Channel tape drives in a 5U high package.
In 2010 Qualstar introduced the RLS-8500 Series that house up to 114 tapes and five LTO drives in a 10U high mechanism.
Qualstar entered the enterprise tape library market in 2006 with the XLS-Series Enterprise Library System. Using patented technology, the XLS-Series introduced interchangeable Library Resource Modules (LRMs)and storage modules (MEMs) in highly flexible configurations that could be combined to exceed 7,000 tapes and 128 LTO tape drives. The XLS family has continued to expand, adding four more LRM models and a second MEM module. XLS models currently span capacities from 160 slots to over 11,000 slots and can house over 150 drives."
"39","Berry Petroleum Corporation  is a petroleum, natural gas, and natural gas liquids exploration and production company based in Bakersfield, California.
Its production is 46% in California, 23% in the Permian Basin, and 13% in the Uintah Basin."
"40","Morningstar, Inc. is a global financial services firm headquartered in Chicago, Illinois, United States. It was founded by Joe Mansueto in 1984 and provides a wide array of investment research and investment management services.
Morningstar's research and recommendations are considered extremely influential in the asset management industry, and a positive or negative recommendation from Morningstar analysts can drive billions of dollars into or away from any given fund. Through its asset management division, the firm currently manages over $200 billion.The firm also provides popular software and data platforms for investment professionals, including ""Morningstar Direct"" and ""Morningstar Advisor Workstation""."
"41","FirstService Corporation is a Canadian public real estate services company, specializing in residential property services, and based in Toronto, Ontario.  It is listed on NASDAQ and the Toronto Stock Exchange."
"42","Mattson Technology Inc (NASDAQ:MTSN) is an American technology company which was founded  in 1988 by Brad Mattson and is based in Fremont, California. The company is both a manufacturer and supplier in the market of semiconductor equipment globally. Its main products are dry strip system, rapid thermal processing, and etching. The company provides products for customers and manufacturers; such as foundries, memory and logic devices.The main offices for Mattson served as the filming location for the Cyberdyne Systems building from Terminator 2: Judgment Day. Dr. Allen Lu has served as the company's CEO and President since October 2016."
"43","Sirius XM Holdings, Inc., doing business as Sirius XM Satellite Radio, is a broadcasting company headquartered in Midtown Manhattan, New York City that provides three satellite radio and online radio services operating in the United States: Sirius Satellite Radio, XM Satellite Radio, and Sirius XM Radio. The company also has a minor interest in SiriusXM Canada, an affiliate company that provides Sirius and XM service in Canada. At the end of 2013, Sirius XM reorganized their corporate structure, which made Sirius XM Radio Inc. a direct, wholly owned subsidiary of Sirius XM Holdings, Inc.Sirius XM Radio was formed after the U.S. Federal Communications Commission (FCC) approved the acquisition of XM Satellite Radio Holding, Inc. by Sirius Satellite Radio, Inc. on July 29, 2008, 17 months after the companies first proposed the merger. The merger brought the combined companies a total of more than 18.5 million subscribers based on current subscriber numbers on the date of merging. The deal was valued at $3.3 billion, not including debt. Through Q2 2017, Sirius XM has more than 32 million subscribers.The proposed merger was opposed by those who felt it would create a monopoly. Sirius and XM argued that a merger was the only way that satellite radio could survive.In September 2018, the company agreed to purchase the competing streaming music service Pandora, and this transaction was successfully completed on the 1st of February 2019."
"44","Kohlberg & Company is an American private equity firm that focuses on leveraged buyout transactions founded by industry pioneer Jerome Kohlberg, Jr.
Today, the firm invests in a variety of transactions including leveraged carveouts (buyouts of divisions from larger companies), take private transactions and acquisitions of privately held companies.  The firm focuses on companies facing operational or financial challenges, particularly middle-market companies.  As of the end of 2007, Kohlberg & Company had raised six private equity funds since its inception, with approximately $3.7 billion of investor commitments.  Kohlberg's previous funds totaled $306 million (1988), $165 million (1994), $320 million (1997), $576 million (2000) and $800 million (2004), respectively.
Additionally, Kohlberg also operates a series of debt investment funds under the banner of Katonah Debt Advisors, which it founded in 2000 as Katonah Capital.  As of the end of 2007, Katonah Capital, and its successor, Katonah Debt Advisors had raised approximately $3.5 billion through 9 collateralized debt obligation funds.  In 2006, the firm completed an initial public offering for Kohlberg Capital Corporation (NASDAQ: KCAP) to provide senior debt and mezzanine financing.
Kohlberg has approximately 25 investment professionals based in Mt. Kisco, New York, New York City, and Palo Alto, California."
"45","Altair Engineering Inc. is an American multinational information technology company headquartered in Troy, Michigan. They provide product design and engineering solutions, enterprise services and cloud computing. Altair was founded by James R Scapa, George Christ, and Mark Kistner in 1985. As of 2017, the company has more than 2000 employees in 71 offices across 24 countries.Altair Engineering is the creator of the HyperWorks suite of CAE software products."
"46","Net Element, Inc. (NASDAQ: NETE) is an American company in the mobile payments sector in emerging markets and in the United States.
The company owns and operates a global mobile payments and transaction processing provider, TOT Group, Inc. (“TOT Group”). TOT Group companies include Unified Payments, recognized by Inc. Magazine as the #1 Fastest Growing Private Company in America in 2012, Aptito, a next generation cloud-based point of sale payments platform and TOT Money, a leading provider of mobile payments, SMS messaging and mobile billing solutions.
The company has U.S. headquarters in Miami, Florida and international headquarters in Moscow, Russia."
"47","Otelco, Inc. is a publicly traded telecommunications holding company based in Oneonta, Alabama. The company owns small, independent telephone companies in West Virginia, Missouri, Maine, Massachusetts, and Alabama.
The company owns:
Brindlee Mountain Telephone Company - Arab, Alabama
Granby Telephone & Telegraph - Granby, Massachusetts
Mid-Maine Communications
Mid-Missouri Telephone - Pilot Grove, Missouri
Pine Tree Telephone & Telegraph - Gray and New Gloucester, Maine
Saco River Telephone & Telegraph - Waterboro, West Buxton, and Bar Mills, Maine
War Telephone - McDowell County, West Virginia
Oneonta Telephone CompanyThe company's subsidiaries do business as OTT Communications and Otelco."
"48","NBT Bank, N.A. is a financial institution that operates through a network of more than 150 banking locations, including offices in New York, Pennsylvania, Vermont, Massachusetts, New Hampshire and Maine. NBT Bank and its parent company, NBT Bancorp Inc., are headquartered in Norwich, New York, United States. NBT Bancorp is traded on the Nasdaq Global Select Market under the symbol NBTB."
"49","EchoStar Corporation is an American company, a worldwide provider of satellite communication solutions and Internet services through its Hughes Network Systems and EchoStar Satellite Services business segments. It is the owner and operator of the satellite fleet for DISH among other customers.
Prior to the completion of a transaction with DISH on March 1, 2017, the company also designed and manufactured set-top boxes for DISH, Bell TV in Canada. It also owned Sling Media, which designs and builds the Slingbox TV streaming device.  Prior to 2008, it operated the Dish Network service brand, which was spun off as DISH on January 1, 2008.
DiSH Network is the second-largest satellite-TV service provider in the US, with more than 13 million customers."
"50","Amdocs (Hebrew: <U+05D0><U+05DE><U+05D3><U+05D5><U+05E7><U+05E1><U+200E>) is a multinational corporation that was founded in Israel and currently headquartered in Chesterfield, Missouri, with support and development centers located worldwide. The company specializes in software and services for communications, media and financial services providers and digital enterprises."
"51","Radisys Corporation is a publicly traded company located in Hillsboro, Oregon, United States that makes technology used by telecommunications companies in mobile networks. Founded in 1987 in Oregon by former employees of Intel, the company went public in 1995. The company's products are used in mobile network applications such as small cell radio access networks, wireless core network elements, deep packet inspection and policy management equipment; conferencing, and media services including voice, video and data. In 2015, Radisys first-quarter revenues totaled $48.7 million, and employed 700 people. Brian Bronson is the company's chief executive officer.
On 30 June 2018, Indian conglomerate Reliance Industries acquired Radisys for $74 million."
"52","Lattice Semiconductor Corporation is an American manufacturer of high-performance programmable logic devices (FPGAs, CPLDs, & SPLDs). Founded in 1983, the company employs about 700 people and has annual revenues of around $300 million, with Jim Anderson as the chief executive officer. The Oregon-based company is the number three ranked company in world market share for field programmable gate array (FPGA) devices, and number two for CPLDs & SPLDs. The company went public in 1989 and is traded on the NASDAQ stock exchange under the symbol LSCC."
"53","Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge Web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. As of 2016, it is the world's largest software maker by revenue, and one of the world's most valuable companies. The word ""Microsoft"" is a portmanteau of ""microcomputer"" and ""software"". Microsoft is ranked No. 30 in the 2018 Fortune 500 rankings of the largest United States corporations by total revenue.Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Microsoft Windows. The company's 1986 initial public offering (IPO), and subsequent rise in its share price, created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market and has made a number of corporate acquisitions, their largest being the acquisition of LinkedIn for $26.2 billion in December 2016, followed by their acquisition of Skype Technologies for $8.5 billion in May 2011.As of 2015, Microsoft is market-dominant in the IBM PC compatible operating system market and the office software suite market, although it has lost the majority of the overall operating system market to Android. The company also produces a wide range of other consumer and enterprise software for desktops and servers, including Internet search (with Bing), the digital services market (through MSN), mixed reality (HoloLens), cloud computing (Azure) and software development (Visual Studio).
Steve Ballmer replaced Gates as CEO in 2000, and later envisioned a ""devices and services"" strategy. This began with the acquisition of Danger Inc. in 2008, entering the personal computer production market for the first time in June 2012 with the launch of the Microsoft Surface line of tablet computers; and later forming Microsoft Mobile through the acquisition of Nokia's devices and services division. Since Satya Nadella took over as CEO in 2014, the company has scaled back on hardware and has instead focused on cloud computing, a move that helped the company's shares reach its highest value since December 1999.In 2018, Microsoft surpassed Apple Inc. as the most valuable publicly traded company in the world after being dethroned by the tech giant in 2010 and in April 2019, Microsoft became the third U.S. public company to be valued at over $1 trillion after Apple and Amazon respectively, reached the trillion-dollar market cap in 2018."
"54","Discovery, Inc. (formerly Discovery Communications) is an American mass media company based in New York City. Established in 1985, the company is best known with its factual television networks, such as the namesake Discovery Channel, Animal Planet, Science Channel, TLC, HGTV, Travel Channel, Food Network, and DIY Network, among others. It also expanded to digital business, such as Group Nine Media (35%) and media properties for golf enthusiasts under the Golf Digest and GolfTV brands.
Discovery also owns or has interests in local versions of its channel brands in international markets, in addition to its other major regional operations such as Eurosport (a pan-European group of sports channels), Discovery Communications Nordic (which operates general-interest channels in Norway, Sweden, Denmark and Finland), TVN Group in Poland,
Lionsgate, an American-Canadian movie studio, UKTV, a British channel group co-owned with BBC Studios, and a portfolio of various free-to-air channels in Germany and Italy such as DMAX and Real Time."
